,Constituency,Name,Party,Picture
220,NA-226Hyderabad-II,Engr. Sabir Hussain Kaim Khani,MQMP,Profile
221,NA-227Hyderabad-III,Mr. Salahuddin,MQMP,Profile
222,NA-228TANDO MUHAMMAD KHAN,Syed Naveed Qamar,PPPP,Profile
223,NA-229Badin-I,Mir Ghulam Ali Talpur,PPPP,Profile
224,NA-230Badin-II,Dr. Fehmida Mirza,GDA,Profile
225,NA-231Sujawal,Syed Ayaz Ali Shah Sheerazi,PPPP,Profile
226,NA-232Thatta,Ms. Shams Un Nisa,PPPP,Profile
227,NA-233Jamshoro,Mr. Sikandar Ali Rahoupoto,PPPP,Profile
228,NA-234Dadu-I,Mr. Irfan Ali Laghari,PPPP,Profile
229,NA-235 Dadu-II,Mr. Rafique Ahmed Jamali,PPPP,Profile
230,NA-236 Malir-I,Jam Abdul Karim Bijar,PPPP,Profile
231,NA-238 Malir-III,Syed Agha Rafiullah,PPPP,Profile
232,NA-240 Korangi Karachi-II,Mr. Muhammad Abubakar,MQMP,Profile
233,NA-241 Korangi Karachi-III,Mr. Faheem Khan,PTI,Profile
234,NA-242 Karachi East-I,Mr. Saif Ur Rehman,PTI,Profile
235,NA-243 Karachi East-II,Mr. Muhammad Alamgir Khan,PTI,Profile
236,NA-244 Karachi East-III,Syed Ali Haider Zaidi,PTI,Profile
237,NA-247 Karachi South-II,Mr. Aftab Hussain Siddique,PTI,Profile
238,NA-248 Karachi West-I,Mr. Abdul Qadir Patel,PPPP,Profile
239,NA-249 Karachi West-II,Mr. Qadir Khan Mandokhail,PPPP,Profile
240,NA-250 Karachi West-III,Mr. Attaullah,PTI,Profile
241,NA-251 Karachi West-IV,Syed Amin Ul Haque,MQMP,Profile
242,NA-252 Karachi West-V,Mr. Aftab Jehangir,PTI,Profile
243,NA-253 Karachi Central-I,Mr. Usama Qadri,MQMP,Profile
244,NA-254 Karachi Central-II,Mr. Muhammad Aslam Khan,PTI,Profile
245,NA-255 Karachi Central-III,Dr. Khalid Maqbool Siddiqui,MQMP,Profile
246,NA-256 Karachi Central-IV,Mr. Muhammad Najeeb Haroon,PTI,Profile
247,Balochistan (16),Balochistan (16),Balochistan (16),Balochistan (16)
248,NA-257 Killa Saifullah-cum-Zhob-cum-Sherani,Mr. Abdul Wasay,MMAP,Profile
249,NA-258 Loralai-cum-Musa Khail-cum-Ziarat-cum-Dukki-cum-Harnai,Mr. Muhammad Israr Tareen,BAP,Profile
250,NA-259 Dera Bugti-cum-Kohlu-cum-Sibi-cum-Lehri,Nawabzada Shazain Bugti,JWP,Profile
251,NA-260 Nasirabad-cum-Kachhi-cum-Jhal-Magsi,Mr. Khalid Hussain Magsi,BAP,Profile
252,NA-261 Jafarabad-cum-Sohbatpur,Mir Khan Muhammad Jamali,PTI,Profile
253,NA-262 Pishin,Mr. Kamal Uddin,MMAP,Profile
254,NA-263 Killa Abdullah,Mr. Salahuddin Ayubi,MMAP,Profile
255,NA-264 Quetta-I,Mr. Asmatullah,MMAP,Profile
256,NA-265 Quetta-II,Mr. Muhammad Qasim Khan Suri,PTI,Profile
257,NA-266 Quetta-III,Mr. Agha Hassan Baloch,BNP,Profile
258,NA-267 Mastung-cum-Kalat-cum-Shaheed-Sikandarabad,Syed Mehmood Shah,MMAP,Profile
259,NA-268 Chagai-cum-Nushki-cum-Kharan,Mr. Muhammad Hashim Notezai,BNP,Profile
